Gene	COAD_cases	COAD_percent	READ_cases	READ_percent	Total_cases	Overall_percent
COL4A4	29	6.7757	3	1.93548	32	5.48885
DCLK1	26	6.07477	6	3.87097	32	5.48885
DPP10	21	4.90654	11	7.09677	32	5.48885
FASN	30	7.00935	2	1.29032	32	5.48885
FLNB	30	7.00935	2	1.29032	32	5.48885
FLT4	29	6.7757	3	1.93548	32	5.48885
FSTL5	26	6.07477	6	3.87097	32	5.48885
GRIA1	27	6.30841	5	3.22581	32	5.48885
GRIK3	26	6.07477	6	3.87097	32	5.48885
HECW2	25	5.84112	7	4.51613	32	5.48885
KIF1A	25	5.84112	7	4.51613	32	5.48885
NBEAL2	28	6.54206	4	2.58065	32	5.48885
NCOR1	27	6.30841	5	3.22581	32	5.48885
NRK	24	5.60748	8	5.16129	32	5.48885
PCDHA11	25	5.84112	7	4.51613	32	5.48885
PCDHB2	27	6.30841	5	3.22581	32	5.48885
PHIP	23	5.37383	9	5.80645	32	5.48885
PLXNB3	28	6.54206	4	2.58065	32	5.48885
SETD2	24	5.60748	8	5.16129	32	5.48885
SMARCAD1	26	6.07477	6	3.87097	32	5.48885
SPTBN2	25	5.84112	7	4.51613	32	5.48885
TNN	26	6.07477	6	3.87097	32	5.48885
TRHDE	27	6.30841	5	3.22581	32	5.48885
TSHZ2	24	5.60748	8	5.16129	32	5.48885
