Gene	COAD_cases	COAD_percent	READ_cases	READ_percent
HNRNPL	25	5.84112	2	1.29032
ICE1	25	5.84112	8	5.16129
KDM6B	25	5.84112	1	0.645161
KIDINS220	25	5.84112	4	2.58065
KIF1A	25	5.84112	7	4.51613
KIF26A	25	5.84112	0	0
KNL1	25	5.84112	5	3.22581
MAP7D1	25	5.84112	1	0.645161
MON2	25	5.84112	4	2.58065
MRC1	25	5.84112	6	3.87097
MUC4	25	5.84112	4	2.58065
MYH11	25	5.84112	8	5.16129
NOL6	25	5.84112	1	0.645161
NRAP	25	5.84112	5	3.22581
NYAP2	25	5.84112	9	5.80645
PCDHA11	25	5.84112	7	4.51613
PCDHA7	25	5.84112	4	2.58065
PIK3C2G	25	5.84112	4	2.58065
PLXNB2	25	5.84112	4	2.58065
PPFIA2	25	5.84112	6	3.87097
PTPN14	25	5.84112	6	3.87097
RALGAPA1	25	5.84112	4	2.58065
SBF1	25	5.84112	1	0.645161
SLC4A3	25	5.84112	8	5.16129
SLIT3	25	5.84112	3	1.93548
SMARCA4	25	5.84112	5	3.22581
SMC2	25	5.84112	3	1.93548
SPTBN2	25	5.84112	7	4.51613
STAG1	25	5.84112	3	1.93548
THBS2	25	5.84112	4	2.58065
TNKS2	25	5.84112	5	3.22581
TNRC6C	25	5.84112	1	0.645161
TOP2B	25	5.84112	4	2.58065
TPO	25	5.84112	6	3.87097
TRPA1	25	5.84112	4	2.58065
TRPC3	25	5.84112	4	2.58065
TRPM2	25	5.84112	3	1.93548
TTK	25	5.84112	5	3.22581
USP35	25	5.84112	2	1.29032
WDR17	25	5.84112	6	3.87097
WWC3	25	5.84112	5	3.22581
ZFYVE26	25	5.84112	7	4.51613
ABCB1	24	5.60748	6	3.87097
ADAMTS18	24	5.60748	10	6.45161
ADCY2	24	5.60748	9	5.80645
ADGRB1	24	5.60748	9	5.80645
AFF3	24	5.60748	4	2.58065
ARHGAP20	24	5.60748	3	1.93548
ARHGAP5	24	5.60748	5	3.22581
ATAD5	24	5.60748	4	2.58065
ATP8A2	24	5.60748	6	3.87097
BAHCC1	24	5.60748	2	1.29032
BAZ1A	24	5.60748	3	1.93548
BIVM-ERCC5	24	5.60748	5	3.22581
BLM	24	5.60748	4	2.58065
CACHD1	24	5.60748	6	3.87097
CACNA2D3	24	5.60748	9	5.80645
CAD	24	5.60748	3	1.93548
CEP162	24	5.60748	3	1.93548
COL4A6	24	5.60748	1	0.645161
CROCC	24	5.60748	3	1.93548
CTNNA1	24	5.60748	3	1.93548
CTNNA3	24	5.60748	3	1.93548
DAAM2	24	5.60748	9	5.80645
DDX60L	24	5.60748	5	3.22581
DIP2A	24	5.60748	2	1.29032
DOCK1	24	5.60748	5	3.22581
DOCK10	24	5.60748	7	4.51613
